ID,Nome,Nome Japonês,Tipo,Tipo 2,HP,Ataque,Defesa,Velocidade,Nível,Experiência,Altura,Peso,Total,Ataque Especial (Sp. Atk),Defesa Especial (Sp. Def),Geração,É Lendário,Percentual Masculino,Classificação,Taxa de Captura,Passos para Chocar,Habilidades,Crescimento de Experiência,Felicidade Base
65,Nidoqueen,Jeffrey,Água,Fada,43.0,40.0,106.0,,37,9067.0,0.81,54.21,684,,81.0,1,0,58.49687009964774,quality,159.0,4956.0,conference,1628591.0,142.0
66,Muk,Trevor,Inseto,,111.0,80.0,,33.0,8,6460.0,1.95,,792,,,4,0,15.140702468930535,deep,8.0,2636.0,,708937.0,104.0
67,Growlithe,Cheryl,Fogo,,,67.0,98.0,103.0,9,4595.0,1.14,33.3,441,,146.0,1,0,11.985122649662117,need,141.0,6299.0,role,838901.0,150.0
68,Lapras,Laura,Psíquico,Aço,118.0,14.0,100.0,18.0,11,1679.0,0.85,76.59,329,90.0,15.0,4,1,7.121619897914333,certain,163.0,8970.0,remain,892392.0,103.0
69,Gloom,Robin,Fada,,109.0,94.0,117.0,17.0,83,9794.0,0.49,,663,121.0,134.0,3,0,31.962767318023833,wonder,68.0,3304.0,daughter,1369425.0,145.0
70,Tauros,Jeremy,Lutador,Gelo,,43.0,93.0,75.0,56,219.0,2.15,121.69,645,,54.0,7,0,32.1703194366176,short,44.0,2747.0,example,777260.0,96.0
71,Aerodactyl,Tina,Elétrico,,73.0,78.0,18.0,61.0,78,6656.0,,88.78,314,64.0,35.0,3,0,24.134805411836346,between,102.0,8523.0,age,644856.0,175.0
72,Psyduck,Brian,Dragão,,109.0,126.0,148.0,46.0,56,6687.0,1.67,86.05,675,10.0,107.0,6,0,62.09325447299392,fall,4.0,7701.0,report,1424191.0,89.0
73,Ditto,Wyatt,Sombrio,Fogo,198.0,127.0,112.0,69.0,57,,0.67,285.26,780,143.0,61.0,4,0,71.23364702537526,because,35.0,2350.0,minute,955584.0,252.0
74,Farfetch’d,Thomas,Sombrio,,,139.0,,101.0,52,8524.0,0.34,217.64,442,91.0,97.0,3,0,,dark,171.0,5789.0,operation,725814.0,148.0
75,Golem,Jennifer,Aço,,42.0,100.0,108.0,72.0,81,3043.0,2.45,244.92,590,15.0,131.0,2,1,53.25905946809685,food,159.0,5672.0,employee,1374569.0,102.0
76,Weepinbell,Tiffany,Dragão,Sombrio,,135.0,59.0,41.0,42,,1.34,141.35,516,119.0,104.0,2,0,63.77099446792553,travel,146.0,3384.0,very,1466609.0,187.0
77,Marowak,Patricia,Inseto,Fantasma,,15.0,,17.0,58,9149.0,1.53,102.07,735,57.0,77.0,7,0,75.67864178090308,ever,138.0,6992.0,try,743534.0,226.0
78,Mankey,Nicholas,Fogo,,195.0,73.0,103.0,,19,2054.0,,,734,41.0,88.0,6,1,70.29566197211055,there,182.0,6094.0,poor,985659.0,192.0
79,Farfetch’d,Kelsey,Fada,,104.0,82.0,54.0,11.0,79,994.0,1.05,165.38,646,38.0,102.0,4,0,48.58737083500023,day,120.0,4523.0,science,1183485.0,197.0
80,Haunter,Stephanie,Aço,,159.0,105.0,37.0,54.0,58,6210.0,1.91,220.94,347,77.0,71.0,2,0,17.550318065686398,yard,44.0,3282.0,put,1610082.0,163.0
81,Ekans,Andrea,Elétrico,Dragão,161.0,37.0,52.0,90.0,32,5141.0,0.96,296.95,524,27.0,108.0,3,0,34.22283881450894,go,,4260.0,adult,984902.0,158.0
82,Dragonair,Jared,Gelo,,44.0,122.0,23.0,68.0,6,8750.0,0.69,148.07,391,49.0,81.0,3,0,38.073474997673095,after,46.0,2640.0,professor,1506799.0,11.0
83,Rattata,Melissa,Gelo,,177.0,,56.0,,79,5100.0,0.5,,592,135.0,148.0,7,0,35.66969215178102,and,217.0,9398.0,short,869249.0,30.0
84,Victreebel,Yolanda,Lutador,Fada,37.0,99.0,17.0,64.0,24,9226.0,0.89,257.05,748,110.0,15.0,5,0,85.44657580972212,Democrat,221.0,8808.0,guy,663049.0,120.0
85,Raticate,Jodi,Inseto,,145.0,32.0,20.0,69.0,79,6156.0,1.61,47.87,793,147.0,119.0,5,0,28.725026675862907,spend,27.0,8883.0,girl,1456322.0,53.0
86,Mewtwo,Bruce,Aço,Água,105.0,40.0,,136.0,34,5993.0,,,625,55.0,105.0,6,0,83.85224621701532,painting,77.0,5479.0,garden,767963.0,
87,Staryu,Courtney,Lutador,,,100.0,114.0,91.0,82,2414.0,0.4,,563,53.0,25.0,6,0,82.80388096820937,conference,146.0,2323.0,machine,1620535.0,
88,Machop,Mary,Grama,,112.0,109.0,15.0,13.0,61,2146.0,0.98,64.36,226,68.0,118.0,4,0,38.439099715731864,throughout,106.0,5343.0,why,861516.0,104.0
89,Wartortle,Mary,Elétrico,Pedra,36.0,36.0,140.0,116.0,9,,1.58,124.93,244,29.0,12.0,6,1,81.63798144828661,seat,40.0,9986.0,true,985713.0,165.0
90,Farfetch’d,Justin,Sombrio,Fogo,42.0,81.0,136.0,8.0,50,9699.0,1.69,282.97,269,18.0,75.0,3,0,18.193104475574017,check,205.0,7634.0,thus,620295.0,75.0
91,Squirtle,Zachary,Elétrico,,,76.0,72.0,134.0,76,11.0,1.04,240.42,393,56.0,15.0,5,0,13.655770801102296,control,192.0,1987.0,pressure,1044643.0,177.0
92,Squirtle,Mary,Inseto,Fantasma,188.0,106.0,98.0,,11,1114.0,1.11,91.67,227,68.0,97.0,4,0,74.08252326692319,themselves,200.0,3843.0,church,1333001.0,156.0
93,Arcanine,Amy,Voador,,141.0,67.0,63.0,,45,8230.0,1.48,,301,112.0,50.0,7,0,62.68296360426498,himself,38.0,,close,1429801.0,197.0
94,Magneton,Larry,Água,Lutador,53.0,16.0,95.0,13.0,27,3263.0,2.06,171.21,577,61.0,96.0,3,0,37.35708532757813,their,241.0,2086.0,floor,1192934.0,103.0
95,Alakazam,Alexander,Voador,,47.0,115.0,,105.0,21,9353.0,,132.56,760,117.0,149.0,2,0,70.63232168846429,wish,125.0,8705.0,just,873175.0,211.0
96,Omanyte,Christina,Sombrio,,198.0,15.0,125.0,121.0,55,2188.0,2.5,3.68,772,81.0,33.0,3,1,74.9052044592008,better,175.0,,benefit,656069.0,80.0
97,Sandshrew,Erik,Fogo,,68.0,66.0,60.0,145.0,56,9937.0,0.66,,379,128.0,83.0,3,0,74.66761447871926,group,237.0,7737.0,agency,689031.0,22.0
98,Hitmonchan,Heather,Sombrio,,77.0,,25.0,116.0,89,9553.0,,29.67,368,19.0,67.0,1,0,57.77634102015312,society,177.0,2251.0,result,1286110.0,237.0
99,Pikachu,Jessica,Psíquico,Sombrio,81.0,141.0,112.0,,28,,0.32,53.58,219,58.0,17.0,3,0,28.843778980179824,against,179.0,8071.0,unit,624581.0,
100,Snorlax,James,Inseto,Pedra,34.0,38.0,78.0,35.0,78,6506.0,1.57,12.79,633,98.0,,3,0,56.639462693268804,theory,94.0,2401.0,its,756172.0,
101,Ivysaur,Susan,Elétrico,,76.0,30.0,51.0,63.0,98,7952.0,0.57,241.18,463,,14.0,6,0,25.54657262068114,current,146.0,4457.0,friend,887352.0,121.0
102,Tentacruel,Amanda,Aço,Fogo,,138.0,107.0,81.0,39,2362.0,0.7,86.3,434,94.0,76.0,4,0,86.53380736504045,discussion,37.0,7470.0,light,1084215.0,147.0
103,Lapras,Ronald,Grama,,165.0,106.0,50.0,,76,2899.0,1.93,,273,76.0,96.0,2,0,74.77097277997679,five,232.0,2835.0,involve,,103.0
104,Abra,Peter,Sombrio,,91.0,19.0,105.0,137.0,99,1339.0,2.09,155.71,756,105.0,88.0,2,0,49.20260638394017,among,198.0,4702.0,she,1366350.0,15.0
105,Electabuzz,Dale,Sombrio,Fantasma,104.0,113.0,106.0,104.0,86,9335.0,0.9,,773,60.0,48.0,3,0,17.299485010934035,window,179.0,5536.0,public,1600446.0,22.0
106,Arbok,Steven,Fogo,,,24.0,99.0,,71,6663.0,0.46,253.49,615,25.0,131.0,2,0,83.88210009933363,prove,130.0,9540.0,,820674.0,161.0
107,Abra,Nina,Aço,,89.0,35.0,,,40,1151.0,,272.62,351,136.0,95.0,3,0,18.354864678182704,fill,173.0,1606.0,task,1308086.0,250.0
108,Vileplume,Bryan,Elétrico,Sombrio,122.0,47.0,,134.0,99,5573.0,0.92,253.22,326,63.0,124.0,5,0,10.238612619005705,forget,212.0,2417.0,remember,1281387.0,201.0
109,Nidorino,Sheri,Lutador,Água,145.0,111.0,19.0,,95,8882.0,0.61,,774,40.0,138.0,3,0,16.342536596220825,ever,222.0,4171.0,live,659179.0,180.0
110,Porygon,Denise,Fada,,147.0,45.0,101.0,113.0,2,4016.0,0.95,244.99,734,41.0,79.0,7,0,75.94845704039324,meeting,67.0,4457.0,trip,956351.0,225.0
111,Charizard,Christopher,Psíquico,Água,51.0,147.0,137.0,14.0,23,,2.14,153.02,590,37.0,144.0,7,0,85.44318575659823,live,140.0,2644.0,year,1497326.0,242.0
112,Zubat,Nicholas,Grama,,37.0,77.0,108.0,72.0,63,9323.0,1.8,296.26,761,70.0,24.0,1,1,12.015256743058679,about,46.0,4903.0,pull,704854.0,
113,Zubat,Nicole,Dragão,,199.0,49.0,134.0,62.0,40,6377.0,1.0,,420,131.0,97.0,7,0,16.771581944620984,can,85.0,4033.0,ten,1358527.0,146.0
114,Dewgong,Alexis,Aço,,82.0,103.0,53.0,96.0,44,3868.0,2.49,155.73,309,122.0,47.0,7,0,9.934031694823808,almost,89.0,2558.0,order,1416557.0,247.0
115,Voltorb,Joseph,Psíquico,,185.0,133.0,32.0,,49,179.0,1.09,104.36,490,,18.0,2,0,30.63914664807026,administration,237.0,9649.0,box,946892.0,19.0
116,Horsea,Cynthia,Lutador,,142.0,86.0,36.0,70.0,69,85.0,2.38,267.75,669,126.0,124.0,2,0,32.038542217168434,those,90.0,9870.0,table,765328.0,88.0
117,Raticate,Eric,Voador,Psíquico,46.0,148.0,132.0,74.0,23,5099.0,1.31,123.73,528,139.0,85.0,5,0,65.21232864323949,save,213.0,9509.0,various,1066425.0,230.0
118,Arcanine,Denise,Fada,,73.0,26.0,125.0,38.0,12,,0.96,20.46,223,14.0,,1,0,26.89576558702116,five,158.0,1000.0,also,1355216.0,134.0
119,Persian,David,Dragão,,106.0,132.0,,141.0,36,8432.0,0.34,128.08,292,135.0,62.0,5,0,30.934033247569847,sign,13.0,6878.0,boy,1078423.0,207.0
120,Farfetch’d,Tyrone,Água,,152.0,32.0,41.0,,12,8264.0,0.68,92.08,497,57.0,104.0,1,0,36.72951534513338,report,109.0,2552.0,long,1210874.0,115.0
121,Machoke,Patrick,Fogo,Dragão,187.0,120.0,112.0,53.0,36,3316.0,2.23,,676,147.0,34.0,3,0,67.86702432301884,personal,248.0,5605.0,TV,1394166.0,168.0
122,Articuno,Gabrielle,Fada,,166.0,109.0,53.0,20.0,28,551.0,0.65,87.52,225,128.0,31.0,1,0,56.246220960205775,number,83.0,3361.0,bad,1440976.0,164.0
123,Persian,Christine,Voador,Psíquico,78.0,53.0,133.0,53.0,37,,2.17,,237,86.0,61.0,4,0,34.83986678847438,computer,,7714.0,trouble,890878.0,115.0
124,Oddish,Emily,Aço,,144.0,51.0,20.0,146.0,13,4527.0,0.73,,623,132.0,83.0,3,0,,compare,109.0,,option,1410132.0,184.0
125,Pinsir,Sarah,Fantasma,,112.0,15.0,19.0,146.0,47,640.0,1.17,,505,90.0,30.0,4,0,76.38093533627243,spring,213.0,4746.0,although,1485053.0,81.0
126,Shellder,Abigail,Grama,Inseto,160.0,116.0,132.0,64.0,67,8908.0,0.67,8.13,442,115.0,102.0,4,0,97.23946838659738,must,153.0,3542.0,analysis,1119948.0,241.0
127,Pinsir,Brittany,Gelo,,107.0,61.0,60.0,146.0,41,,,,391,71.0,62.0,1,0,98.72693371267263,fall,140.0,3937.0,environmental,739858.0,65.0
128,Shellder,Laura,Grama,,51.0,82.0,60.0,,77,1684.0,1.3,,769,122.0,122.0,2,0,91.90165892216325,idea,39.0,6287.0,each,1371120.0,128.0
129,Hitmonchan,Michael,Inseto,,55.0,117.0,30.0,64.0,2,9643.0,0.75,274.59,486,,53.0,3,0,6.455431047874116,cell,237.0,5361.0,media,1594444.0,64.0
130,Scyther,Shelby,Elétrico,,196.0,62.0,,32.0,88,7188.0,1.7,46.4,501,40.0,92.0,3,0,65.45549369218085,trouble,75.0,9666.0,yourself,1235075.0,15.0
131,Pikachu,Robin,Água,Elétrico,127.0,44.0,109.0,112.0,42,8890.0,1.74,,506,104.0,123.0,3,0,87.14265061891427,its,201.0,9617.0,seem,1369611.0,
132,Charmeleon,Kylie,Inseto,Gelo,181.0,46.0,37.0,60.0,30,9189.0,0.35,117.39,463,92.0,41.0,4,0,20.435046212023554,tend,192.0,9739.0,foot,954862.0,48.0
133,Bellsprout,Kristina,Fada,,116.0,75.0,74.0,53.0,20,4833.0,2.47,164.65,430,24.0,74.0,6,0,12.916855516059977,save,121.0,8544.0,lay,1075483.0,61.0
134,Lapras,Brenda,Inseto,,160.0,11.0,17.0,130.0,74,5692.0,2.4,243.31,211,93.0,106.0,3,0,53.63007151105636,occur,92.0,6203.0,professor,1153082.0,204.0
135,Snorlax,James,Pedra,,112.0,84.0,27.0,68.0,29,9602.0,2.15,202.39,263,13.0,66.0,6,0,88.11703512321459,plant,46.0,3236.0,concern,1266234.0,28.0
136,Bellsprout,Spencer,Pedra,,22.0,114.0,,95.0,76,3668.0,0.32,126.36,635,112.0,123.0,7,0,29.2708173224546,visit,155.0,7112.0,town,1406804.0,227.0
137,Charmander,Brooke,Psíquico,,41.0,26.0,119.0,50.0,26,2274.0,1.04,,552,108.0,66.0,6,0,49.202289923989206,likely,9.0,2429.0,big,1064433.0,144.0
138,Mankey,Brian,Água,,,21.0,43.0,32.0,14,5723.0,0.74,145.02,483,68.0,145.0,3,0,72.47514116841089,whole,121.0,5414.0,success,1583965.0,221.0
139,Primeape,Kristopher,Voador,,162.0,99.0,115.0,,8,490.0,1.16,250.53,542,122.0,97.0,7,0,99.31349212362124,,157.0,9070.0,teach,923164.0,128.0
140,Cloyster,Daniel,Aço,,86.0,149.0,132.0,,46,,1.79,47.35,515,38.0,76.0,5,0,6.5768060327418105,article,78.0,5916.0,still,1431237.0,197.0
141,Starmie,Robert,Gelo,Dragão,61.0,56.0,110.0,67.0,17,8531.0,0.8,,559,57.0,143.0,4,0,25.008580116890723,last,216.0,4771.0,,676925.0,213.0
142,Zapdos,James,Pedra,,99.0,118.0,22.0,,2,4989.0,0.31,35.87,719,101.0,21.0,1,0,6.753634005212239,task,114.0,3874.0,money,1104679.0,236.0
143,Alakazam,Andrew,Inseto,,89.0,110.0,61.0,56.0,6,1685.0,0.37,296.3,559,11.0,139.0,2,0,73.20909504045714,doctor,,1195.0,easy,1312538.0,248.0
144,Magneton,Kara,Dragão,Gelo,39.0,146.0,120.0,11.0,32,7676.0,0.48,,208,90.0,121.0,4,0,61.67567668227404,live,159.0,2258.0,product,,140.0
145,Ninetales,Joshua,Aço,,37.0,76.0,114.0,100.0,81,8088.0,,170.85,369,,25.0,5,0,72.01724078562984,hand,48.0,5918.0,play,1289479.0,175.0
146,Tentacruel,Amber,Dragão,Psíquico,80.0,20.0,71.0,52.0,3,,1.78,,698,34.0,144.0,3,0,,in,82.0,2057.0,according,1060125.0,209.0
147,Ninetales,Austin,Grama,,195.0,28.0,110.0,139.0,97,2794.0,0.47,58.0,241,37.0,84.0,1,1,14.350554228932989,upon,204.0,9120.0,community,1130690.0,167.0
148,Hitmonlee,Virginia,Grama,Pedra,69.0,142.0,88.0,140.0,19,9145.0,,,445,120.0,,6,0,38.89592019856178,chance,13.0,3813.0,for,1066697.0,251.0
149,Muk,Angela,Psíquico,,104.0,104.0,70.0,105.0,14,,1.12,,697,55.0,95.0,5,0,8.326775030337185,me,91.0,,when,728521.0,219.0
